pair,layer,condition,n_test,transfer_rate,wilson_lo,wilson_hi,boot_lo,boot_hi,preserve_rate,preserve_wilson_lo,preserve_wilson_hi
linear_2x_length,15,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.08,0.0315,0.1884
linear_2x_length,15,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.08,0.0315,0.1884
linear_2x_length,17,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.08,0.0315,0.1884
linear_2x_length,17,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
linear_2x_length,17,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.08,0.0315,0.1884
linear_2x_length,17,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.08,0.0315,0.1884
sentiment_antonym,8,all_demo,50,0.04,0.011,0.1346,0.0,0.1,0.78,0.6476,0.8725
sentiment_antonym,8,input_only,50,0.0,0.0,0.0714,0.0,0.0,0.96,0.8654,0.989
sentiment_antonym,8,output_only,50,0.06,0.0206,0.1622,0.0,0.14,0.8,0.6696,0.8876
sentiment_antonym,8,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.98,0.895,0.9965
sentiment_antonym,12,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.96,0.8654,0.989
sentiment_antonym,12,input_only,50,0.0,0.0,0.0714,0.0,0.0,0.96,0.8654,0.989
sentiment_antonym,12,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.96,0.8654,0.989
sentiment_antonym,12,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.96,0.8654,0.989
sentiment_antonym,15,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.98,0.895,0.9965
sentiment_antonym,15,input_only,50,0.0,0.0,0.0714,0.0,0.0,0.96,0.8654,0.989
sentiment_antonym,15,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.98,0.895,0.9965
sentiment_antonym,15,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.98,0.895,0.9965
sentiment_antonym,17,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.98,0.895,0.9965
sentiment_antonym,17,input_only,50,0.0,0.0,0.0714,0.0,0.0,0.98,0.895,0.9965
sentiment_antonym,17,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.98,0.895,0.9965
sentiment_antonym,17,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.98,0.895,0.9965
